mig_abs_nearest, mig_abs_ot
 1.332,  1.869
 1.064,  1.206
 2.036,  2.035
 1.558,  1.675
 1.364,  1.342
 0.827,  1.032
 1.736,  1.833
 0.886,  0.967
 1.241,  1.570
 0.737,  1.399
 1.766,  1.796
 0.656,  0.725
 1.265,  1.312
 0.697,  0.890
 0.957,  1.378
 0.788,  1.118
 0.709,  0.846
 1.067,  1.129
 0.721,  0.964
 1.267,  1.491
 1.313,  1.494
 4.901,  5.455
 1.845,  2.073
 1.166,  1.195
 2.186,  2.300
 3.194,  3.660
 1.096,  1.322
 0.920,  1.125
 2.037,  2.089
 1.385,  1.599
 2.172,  2.698
 3.144,  3.338
 0.887,  1.119
 0.584,  0.642
 1.833,  2.034
 0.802,  0.900
 0.929,  1.012
 1.734,  1.788
 1.525,  1.569
 1.604,  1.693
 2.113,  2.299
 1.900,  2.258
 2.725,  2.901
 1.813,  1.876
 3.361,  3.388
 0.936,  1.062
 0.979,  1.116
 1.276,  1.485
 0.743,  0.786
 0.585,  1.306
 1.453,  1.761
 4.128,  4.302
 2.341,  2.809
 2.348,  2.572
 2.853,  6.542
 3.132,  6.472
 1.200,  1.254
 3.803,  4.337
 1.349,  1.436
 1.904,  2.281
 1.193,  1.321
 0.937,  1.010
 1.873,  1.943
 1.486,  1.624
 0.897,  1.022
 1.191,  1.216
 1.594,  1.674
 0.775,  1.239
 1.463,  1.871
 1.157,  1.684
 3.529,  3.650
 2.808,  2.855
 1.161,  1.244
 3.868,  9.174
 2.932,  4.942
 1.111,  1.301
12.572, 12.915
21.092, 23.348
 5.378,  8.560
 5.950,  9.504
 1.095,  1.209
 1.267,  1.330
 2.066,  2.172
 1.589,  1.690
 1.236,  1.313
 0.682,  0.762
 1.777,  1.950
 1.639,  1.926
 1.780,  1.921
 0.784,  1.292
 1.358,  1.401
 1.993,  2.076
 2.114,  2.762
 1.144,  1.180
 1.826,  1.916
 5.552,  5.714
 0.982,  1.102
 2.017,  2.095
 1.479,  1.614
 1.710,  1.774
 1.277,  1.356
 1.011,  1.080
 1.698,  1.767
 1.684,  1.745
 0.787,  0.965
 1.476,  1.495
 2.298,  2.936
 1.137,  1.209
 1.569,  1.681
 0.812,  0.849
 1.549,  1.629
 1.690,  1.751
 1.220,  1.338
