size_diff, size_an4, num_faces_an4
-0.617, 140.846, 22.000
-0.151, 100.106, 11.000
-7.619, 44.138, 10.000
-1.036, 77.275, 16.000
-0.970, 107.352, 15.000
 0.443, 25.014,  4.000
-2.285, 63.132, 11.000
 1.300, 17.388,  4.000
-4.464, 90.650, 11.000
-25.474, 43.317,  6.000
-1.980, 68.799, 11.000
 0.609, 122.008, 22.000
-14.293, 35.462,  8.000
-2.788, 67.343,  8.000
-7.293, 36.061,  9.000
 2.348, 142.675, 27.000
-9.015, 46.333,  4.000
-5.421, 36.505,  7.000
-0.046, 96.197,  7.000
-1.876, 21.653,  5.000
-2.415, 16.475,  5.000
 6.572, 29.411,  6.000
-5.423, 74.392, 10.000
-0.233, 95.939, 18.000
-87.433, 99.206, 13.000
 1.044, 105.897, 14.000
-9.286, 66.479,  4.000
 1.095, 17.651,  4.000
 6.899, 39.527,  7.000
110.108, 12.836,  2.000
-8.987, 52.729,  8.000
-7.862, 44.740,  5.000
-1.742, 87.154, 13.000
-21.073, 37.548,  6.000
-6.750, 88.686,  9.000
 0.515, 71.029, 10.000
-2.783, 69.765, 12.000
 0.741, 13.420,  3.000
74.027, 13.076,  3.000
-12.318, 48.518,  8.000
-2.605, 45.090, 10.000
-3.182, 54.181, 11.000
45.515, 15.190,  3.000
 1.633, 29.388,  6.000
28.440, 24.555,  6.000
-10.829, 63.738,  8.000
 0.905, 26.644,  5.000
-0.899, 14.647,  3.000
-3.325, 70.663,  8.000
 1.178, 100.947, 12.000
 6.002, 58.281, 15.000
 1.873, 33.765,  5.000
-5.202, 65.367,  7.000
 3.081, 223.864, 30.000
 1.126, 74.038, 16.000
-3.092, 88.514, 19.000
 3.821, 155.962, 30.000
 1.683, 76.670, 16.000
 1.584, 155.984, 29.000
