gsize_diff_an4,gf_diff_an4,f_fnn_diff_an4,fnnf_maxadec_l_m_r,dist_centroid_diff_l_an4
76.200,    23,30.282,-5530.134, 0.938
47.498,    16,24.315,-4044.785, 0.337
45.465,    15,19.979,-5508.796, 0.472
74.030,    18,20.490,-154.466, 0.050
49.185,    17,22.726,-5397.651, 0.621
81.192,    21,34.015,-4141.236, 0.888
44.184,    14,14.532,-5662.979, 0.375
65.290,    21,37.015,-5430.608, 0.753
-35.582,    -6,-4.322,-5711.126,-0.315
71.733,    19,18.187,187.287, 0.839
-15.360,    -3, 0.926,-5182.360, 0.120
55.795,    15,18.706,-5705.694, 0.650
 8.176,     5, 7.571,2729.316,-0.035
-59.634,    -7,-8.737,2506.042, 0.030
-60.364,    -3,-5.333,4233.728,-0.476
-19.052,    -2,-4.071,2517.643,-0.497
-31.674,    -9,-5.524,599.113, 0.053
-19.106,    -2,-2.143,7686.672, 0.012
-44.377,   -11,-10.174,2517.643,-0.339
-6.100,     3, 5.778,4233.728,-0.007
-24.887,    -8,-5.400,742.209,-0.042
-103.111,   -17,-14.289,5299.314,-0.002
-63.745,    -6,-8.375,6302.466,-0.049
-20.017,    -3,-1.536,1245.592, 0.056
-5.813,    -1, 2.950,953.335,-0.095
-81.188,   -31,-34.107,11520.010,-0.589
-54.640,   -14,-16.528,11490.101,-0.815
14.666,    -3,-3.235,-1234.896, 0.077
-27.230,   -23,-23.162,-1248.906, 0.112
76.714,    25,27.513,-3645.846, 0.627
56.722,    11,12.323,-3943.368, 0.579
34.953,     2, 4.256,-3813.501, 0.105
29.645,    11,16.037,-10541.050, 0.336
88.293,    24,29.281,-3928.413, 0.028
96.370,    26,28.323,-316.536,-0.013
23.185,     9,14.135,-1802.736, 0.137
69.620,    26,43.990,-224.765, 0.009
89.706,    27,41.856,-3667.093, 0.904
42.323,    10,10.520,-216.991,-0.085
37.937,     7, 7.296,3240.122, 0.004
63.041,    24,29.906,-3711.014, 0.705
75.974,    23,24.545,-269.332, 0.645
74.921,    26,30.490,-10728.832, 0.678
-9.612,     0, 0.909,-100.336,-0.031
-45.669,    -8,-12.311,2116.952,-0.006
-57.336,   -14,-15.804,3737.577, 0.000
-20.782,    -3,-2.006,-29.845,-0.380
-55.432,   -20,-19.460,3710.953,-0.631
-16.181,     6, 7.636,1720.450,-0.356
-17.305,    -4,-3.430,180.284,-0.788
-40.093,   -12,-12.798,1438.225, 0.017
-5.797,     0, 2.909,-56.470,-0.218
-49.712,   -17,-21.406,-3146.979,-0.367
32.570,     4,-1.667,-3480.407, 0.596
27.483,   -11,-14.325,-8609.201,-0.002
-63.394,   -19,-29.533,2314.864,-0.837
-39.861,   -17,-25.750,1398.637,-0.010
-94.944,   -40,-47.795,2323.299, 0.003
-116.458,   -39,-54.012,1718.952,-0.902
-76.168,   -26,-40.700,2338.545,-0.909
-46.038,   -21,-35.900,2338.545,-0.637
-79.404,   -20,-28.417,-5.081,-0.765
-20.356,   -15,-15.567,-2671.316,-0.142
17.706,     0, 7.667,-3143.026, 0.118
25.062,     3, 8.917,-2777.675,-0.107
 8.018,    -5,-3.033,-593.643, 0.059
-6.950,    -9,-8.732,-1390.363,-0.106
-8.146,    -9,-7.784,-1807.823, 0.011
24.184,    -1,-1.827,-1761.328, 0.517
-7.843,    -6,-0.167,-2141.998, 0.031
 2.633,    -1, 2.833,-2966.468, 0.073
-160.978,   -40,-44.432,6904.544, 0.001
-47.692,    -9,-14.096,4868.602,-0.613
 3.525,     0, 0.000,243.947,-0.033
-49.822,   -25,-28.629,-478.994, 0.084
29.655,     6, 8.500,-1188.155, 0.064
27.575,    -1, 2.273,-5149.669, 0.248
-36.144,    -9,-13.500,28.971,-0.402
