gsize_diff_an4 ,gf_diff_an4, g_itgcurv_diff_an4, face_itgcurv_an4_left, face_area_an4_m_an5, fnnf_maxdec_r_m_l, fnnf_avgdec_r_m_l, move_left
68.806, 27.000, 816.464, -24.714, 223.225, -1850.353, -127.577,      0
 8.915,  4.000, 81.984, -13.573, -536.122, -1663.435, -64.574,      1
-0.178, -2.000, 352.220, 41.845, 348.947, -1231.435, 294.123,     -1
67.546, 20.000, 876.608, 39.719, 39.496, -377.585, 160.827,      1
-37.850, -8.000, -339.458,  0.535, -230.031, 161.374, 505.083,     -1
-6.144, -1.000, 117.515, -7.021, -43.123, 16.213, 67.457,      0
-60.961, -10.000, -51.641, -11.451, 20.787, 265.872, 144.669,     -1
-36.672, -4.000, -160.876,  3.364, 13.114, -364.584, -729.119,     -1
-3.343, 11.000, 15.120, -3.514, -7.127, -351.214, -229.736,     -1
-5.424,  5.000, -208.293,  7.686, -68.460, 225.953, -820.171,     -1
-27.364, -2.000, 50.748, -14.226, 81.565, -69.025, -1282.819,     -1
-10.858, -1.000,  1.563, 31.660, -110.168, 306.835, -1089.310,     -1
51.506,  6.000, -103.226,  0.407, -398.016, -547.524, -276.101,      1
23.323,  0.000, -204.169, 13.903, 96.591, -994.129, -713.911,      1
52.797,  3.000, -37.794, -16.162, 437.415, -1014.570, -454.437,      1
92.414, 23.000, 438.757,  3.072, 261.605, -1045.730, -670.115,      1
70.432, 21.000, 628.008, -20.167, -206.380, -1073.303, -346.872,      1
61.266, 11.000, 131.707, -9.258, 639.114, -1079.338, -712.376,      1
-35.087, -5.000, -15.523, -9.494, -2059.181, 118.733, -525.568,      1
15.323,  2.000, -63.520, -84.395, 343.530, -381.460, -552.010,     -1
154.949, 81.000, 2318.794, 73.354, -1588.748, -6684.421, -2199.367,      1
-52.845, -6.000, -71.479, -6.296, -29.569, 1095.729, -1361.593,      1
29.533, 19.000, 450.432, -10.814, 91.904, 260.709, -1176.254,      1
-59.902, -10.000, -236.223, -1.641, -31.160, 1303.271, 1303.271,     -1
 3.347,  5.000, 62.128, 21.716, 132.693, 926.044, -1033.691,      1
-15.664,  4.000, 51.728, -5.637, -58.267, 989.431, -907.911,      1
-22.684,  4.000, 372.680, -4.243, -285.647, 1231.981, -378.410,      1
 3.084, 20.000, 569.399, 22.051, -4929.100, -491.215, 326.097,     -1
60.180, 21.000, 1077.846, 27.514, 1111.154, 911.609, -294.943,     -1
-42.314, -13.000, -295.675, -55.154, 185.920, 111.695, -89.198,      0
-72.964, -17.000, -30.732, -0.599, -69.342, 283.612, 15.287,     -1
-36.077, -12.000, -151.369, 14.539, 267.703, 2330.010, 786.573,      1
-33.131, -6.000, -105.316,  5.385, -337.562, 2103.290, 642.407,      1
84.571, 36.000, 1657.913,  1.971, -105.776, -194.966, 467.382,      1
56.338,  3.000, 865.479, 68.489, 151.503, 155.909, 477.534,     -1
-15.398, -8.000, 72.216, -11.942, 209.190, 1891.452, 352.464,      0
151.868, 73.000, 2283.379,  8.317, -203.627, 766.923, 703.369,      1
-72.604, -18.000, -63.450,  5.879, -515.929, 2490.058, 821.681,     -1
-31.740, -8.000, 14.168, -86.870, 2405.369, -1203.841, -678.912,      1
-8.650,  0.000, 394.410, 22.501, -74.555, 2151.850,  2.776,     -1
-12.084, -2.000, 241.935,  5.623, -250.228, 27.022, -75.037,      1
 7.621, -4.000, 200.186, 33.259, 139.912, -1370.742, 217.571,     -1
-13.780, -1.000, -45.575, -6.988, -213.652, 2116.950, 233.731,      0
-1.683,  0.000, -97.891, -1.490, -63.671, -335.190, -238.002,     -1
-10.671, -8.000, 78.501, -3.697, 40.229, 253.254, 234.970,      1
57.332, 24.000, 690.483, 18.920, -47.562, 111.695, 181.370,     -1
122.818, 50.000, 2355.383,  4.344, -2237.405, 933.825, 1468.821,      1
-69.583, -17.000, -9.658, -2.502, -4.326, -214.397, -209.372,     -1
-25.730, -9.000, -262.785, -1.438, -162.211, 250.072, 152.778,      0
17.764,  6.000, 137.726,  9.216, -58.449, -73.726, -115.572,      0
39.368, 12.000, 328.337, -22.403, -132.192, -94.820, -55.676,      0
-14.204,  0.000, -112.309, -43.185, 260.287, -101.967, -131.703,      1
-18.695, -5.000, -64.535, -2.367, 70.412, -186.487, -70.036,     -1
-31.283, -8.000, -279.856,  0.677, 36.701, -297.424, -301.073,      1
 8.090,  4.000, -166.419, -7.484, -36.684, -82.943, -222.042,     -1
-18.562, -2.000, -41.629, -14.936, -57.957, 134.628, -9.926,     -1
12.782,  1.000, -56.390, -25.254, -184.718, -115.238, -2.337,     -1
-42.962, -9.000, -168.061, -21.379,  1.094, 134.628, -82.214,     -1
-31.300, -9.000, -257.679,  0.655, 61.194, -177.270, -186.610,     -1
34.360, 12.000, 196.999, -21.636, -7.054, -4265.392, -1207.570,      1
66.398, 30.000, 1199.380, 275.336, -7.248, -4679.839, -2375.817,      1
-15.985,  0.000, 15.205, -25.451, 42.071, 276.795, 128.331,     -1
112.123, 79.000, 1298.493, 15.246, 682.832, -4724.689, -453.398,      1
 2.839,  7.000, -6.484, 11.531, -63.074, 500.980, 321.520,     -1
-17.816, -4.000, -7.298, 19.012, 77.568, 879.348, 497.640,     -1
-25.714, -5.000, 148.542, 10.111, -6.269, 967.633, 508.436,      1
 0.231,  2.000, 53.174, 13.794, 265.687, 783.875, 265.065,     -1
56.980, 15.000, 217.620, 44.970, 894.331, -2473.725, 287.220,      1
-22.514, -4.000, 64.239,  8.315, 56.481, 445.900, 176.720,      1
 9.697, -5.000, 397.744,  0.308, -30.033, -2843.787, -1214.144,      1
-3.038, -2.000, 96.210, 12.008, 87.570, 660.323, 224.375,     -1
-33.438, -13.000,  6.239, -10.693,  6.419, -90.476, -15.175,     -1
15.425, -3.000, 263.860,  2.059, 55.353, -233.126, 139.804,      1
103.036, 71.000, 1250.273, -5.370, -67.046, -30.316, 183.959,      1
 8.210, -1.000, 302.341, 10.137, 16.026, 39.216, 22.034,      1
 7.637,  0.000, 61.425,  2.149, -18.738, 389.342, 124.465,      1
-24.075, -12.000, -103.805, -51.756, 31.741,  0.512, -45.854,     -1
41.252, 15.000, 866.065, 23.597, 63.848, -206.975, 49.328,      1
-19.794, -10.000, -14.488, -2.991,  0.390, 569.840, 98.736,     -1
59.292, 15.000, 872.530,  3.017, 85.489, -941.249, -130.815,      1
-6.070, -7.000, 434.697, 53.635,  1.913, -12.975, -0.476,      1
-18.239, -6.000, -148.019,  3.193, 98.976, -30.316, -68.782,     -1
 5.082, -3.000, -183.284, -5.550, 28.817, 739.242, 196.978,      1
-11.254, -11.000, -199.362, -1.734, -64.582, -171.191, -50.102,      1
-24.541, -14.000, -43.442, 14.737, 74.466, 188.210, 305.110,     -1
-25.368, -10.000, -6.203,  8.546, 130.277, 637.734, 122.741,     -1
-18.379, -19.000, 136.561, -11.692, -1.261, 91.302, -180.936,      1
-43.949, -27.000, -332.582, -40.404, 87.618, -2.066, -110.270,     -1
-50.461, -27.000, -143.735,  0.843, 36.165, 258.891, 103.084,     -1
 1.139, -8.000, 831.986, 91.029, 58.409, -178.518, -126.776,      0
-44.934, -28.000, -229.843, -8.469, 641.618, -296.638, -516.933,     -1
-27.347, -19.000, -121.486, -17.318, -76.177, 156.306, 45.463,      0
-40.318, -23.000, -160.470, 10.198, -57.238, 623.316, -2.244,      0
-39.544, -22.000, -148.162, -13.288, -126.014, 239.788, -110.519,      1
