move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
     1, 13.890, 12.000, 12.435, 72.377, -40.865, -71.681, -32.922, 93.829, 32.003 
     0, -25.298, -4.000, -4.429, -6.445, -14.435, 57.346,  5.703, -14.685, -20.581 
     1, 34.063, 19.000, 16.400, 312.840,  3.845, -137.123, -76.559, 84.639, 31.685 
     1, 21.757,  7.000,  0.889, 35.654, 110.950, -129.775, -40.724, -69.940, -25.715 
     0, -19.790, -6.000, -15.000, 63.547, -17.484,  0.519, -40.045, -125.984, -78.885 
     1, 76.085, 24.000, 26.486, 689.683,  0.517, 53.803,  3.280, -11.238, -32.279 
    -1, -18.919, -3.000, -9.750, -13.761,  6.376, -17.388, -26.830, 103.600,  5.662 
     0, -7.491,  2.000,  1.077, -27.748, -3.698, 52.896, 18.968, 69.121, 34.124 
    -1, -7.435,  1.000, -2.500, -57.851, -12.610,  5.566, -52.327, 47.457, -1.238 
    -1, 52.875, 25.000, 32.232, 464.235, 37.468, -172.931, -160.368, 285.083, 181.042 
     0, 48.865, 14.000, 19.286, 20.065, -3.063, -146.062, -105.561, 187.974, 115.272 
     1,  1.677,  4.000,  6.312, -25.361, -14.219, 203.409, -15.960, 332.920, 145.785 
    -1, 63.239, 23.000, 28.957, 226.873, 28.023, -509.669, -255.230, 82.855, -2.526 
    -1, 57.095, 28.000, 34.543, 259.427, 49.633, -172.931, -334.826, 261.393, 20.881 
     1,  8.737,  6.000, 12.549, -89.987,  1.240, -718.149, -279.901, 19.082, 48.226 
     0,  7.241,  5.000,  6.625, -91.649, -20.512, -210.346, -42.183, -152.620, -63.066 
     1, 20.832,  6.000,  5.613, 259.567, 45.112, 132.073, -17.830, 39.909, 86.243 
     1, 35.693, 20.000, 21.767, 138.417, 79.110, -1823.248, -617.978, -184.835, -83.387 
     1, 20.458, 11.000,  9.729, 20.947, -1.945, -229.349, -99.413, -76.249,  3.255 
    -1, -10.234,  0.000, -1.400, 42.173, -16.387, -110.141, -81.006, 34.681, -12.886 
     1, 42.883, 11.000, 10.157, 290.534, -5.677, -1582.433, -584.759,  0.898, 158.760 
    -1,  5.907,  4.000, -2.414, 17.942,  4.238, -793.604, -371.889, -78.921, -13.957 
     1,  0.180, -2.000, -1.575, 86.255, -7.108, 12.894, -9.754, 10.820, -18.386 
     1, 16.238,  7.000,  7.182, 135.121, -3.149, 25.954, -6.285, 102.979, 54.941 
     1, 23.822,  5.000,  3.500, 107.563,  4.479, 99.611, -63.886, 227.319, 150.996 
    -1, 19.364,  1.000, -5.518, 53.494, -1.046, 98.835, 221.102, -66.005, -15.962 
     1, 59.632, 23.000, 38.519, 124.248, -3.594, 79.741, 322.515, -308.422, 70.321 
     1, 51.005, 11.000, 22.119, 58.020, 24.831, 570.157, 381.729, -310.128, -70.443 
     0, 41.501, 15.000, 24.513, 288.508, -8.930, 570.157, 411.003, -7.660, 17.550 
     1, 88.162, 34.000, 51.725, 854.388,  2.778, 79.741, 378.534, -74.666, 11.138 
