move_left ,gV_diff_an4, gF_diff_an4 ,gFnnF_diff_an4, gMs_diff_an4, fMs_an4_left, FnnF_A_maxdec, FnnF_A_avgdec, FnnF_fMs_maxdec, FnnF_fMs_avgdec
     1, -10.705, -2.000, -5.811, -71.708,  0.416, 896.466, 207.853, 80.118,  0.055 
     1, -12.358, -2.000, -6.400, 90.149, -0.035, -43.949, -16.069, -82.974, -12.599 
    -1, -40.176, -1.000, -5.273, -315.904, -8.399, 5204.962, 772.362, 302.634,  2.114 
     1, -23.019,  0.000, -0.375, 20.930,  4.433, 110.789, 113.151, -211.966,  4.666 
    -1, 47.365, 21.000, 26.789, 185.711,  2.645, -290.203, -268.881, -728.711, -238.890 
    -1, 10.878,  8.000, 11.026, -17.888,  0.000, -820.677, -820.677, -43.431, -43.431 
    -1,  1.946,  3.000,  2.306, -68.212,  4.841, -192.834, -295.204, -618.969, -244.837 
    -1, -31.450,  1.000,  8.456, -6.769, -0.527, -109.096, -425.246, -614.593, -221.552 
     1, -8.930,  1.000, 17.231, 11.907, -0.625, 994.129, 640.339, 1202.684, 491.715 
     1, 101.868, 77.000, 94.753, 1409.374, 13.865, -1352.218, -466.512, 943.249, 338.891 
    -1, 40.355, 22.000, 34.059, 108.159, 41.338, -1308.772, -685.285, -40.657, -36.735 
     1, 166.141, 49.000, 66.521, 2102.406,  2.054, -1744.990, 826.660, 508.343, 99.109 
     1, 90.743, 31.000, 47.913, 746.665, 19.776, 511.353, 714.936, 1218.976, 336.449 
     1, -1.825,  0.000,  5.154, -52.789, 18.903, -1788.436, -543.832, 776.868, 21.413 
     1, 166.103, 72.000, 89.725, 2322.966,  5.208, -1200.532, -69.136, 1074.970, 274.277 
     0, -28.298, -10.000, -1.103, -16.121, -22.691, 764.106, 210.568, 121.916, -85.166 
     1, 50.303, 26.000, 41.410, 255.894,  8.239, -1095.158, -235.578, 508.343, 92.506 
     1, -2.699, -10.000, -8.421, 21.435,  0.078, 6901.955, 2779.507, 1224.617, 357.425 
     1, -21.911, -8.000, -11.293, -6.033,  2.714, 5667.897, 2161.584, 1185.516, 357.926 
     1, -13.892, -12.000, -12.768, -43.346,  8.273, 6814.770, 2044.772, 1224.617, 253.342 
     1, -51.258, -21.000, -29.143, -100.481, -10.147, 6616.554, 2568.260, 1282.998, 457.836 
    -1, 73.718, 62.000, 67.379, 1334.882, 169.097, 56.133, 222.906, 145.881, 58.197 
     1, -49.501, -21.000, -29.143, -98.340, -31.615, 6874.721, 1959.971, 1386.091, 401.909 
     1, 62.593, 16.000, 20.539, 672.173,  0.000, 5509.204, 1423.757, 1436.491, 540.925 
    -1, -52.288, -19.000, -30.365, -122.908, -2.677, 5773.196, 1229.437, 1224.336, 301.059 
     1, 137.954, 57.000, 62.351, 2248.474, 22.397, 4786.668, 742.084, 1224.336, 256.723 
     1,  5.955, -4.000,  0.815, 109.927, -12.293, 6476.691, 2074.428, 1449.147, 387.919 
     1, 13.022,  0.000,  1.833, -111.628,  0.087, -411.663, 31.881, 40.048, -29.426 
     1, 40.205, 10.000,  8.312, 107.960, -11.826, -308.772, -136.215,  6.001, -57.860 
     1, 124.640, 38.000, 40.682, 718.073, 17.043, -411.663, -78.383, -782.985, -350.995 
     1, 24.611,  5.000,  0.545, 32.020, -4.904, -308.772, -121.663, -782.985, -231.610 
     1, 68.001, 18.000, 20.958, 155.827, 12.572, -5.396, 156.742, -411.066, -139.544 
     1, 10.947,  1.000,  2.714, -55.863,  1.992, -30.665, 80.179, 26.789, -33.722 
     0, 75.428, 21.000, 18.727, 657.247,  1.433, 106.400,  8.910, -39.239, -43.198 
     1, -3.360, -7.000, -10.431, -92.258,  0.000, -15.590, -5.624, 39.704, 422.329 
     0, -21.759, -7.000, -6.892, -76.463, -3.879, 109.023, 42.858, 284.278, 134.224 
    -1, -42.739, -17.000, -23.867, -100.010, -46.060, -17.494, 91.779, -120.540, 137.465 
     0, -8.268, -10.000, -17.600, -92.485, -1.411, 312.467, 47.948, -2718.473, -534.234 
     0, -12.005, -9.000, -13.564, -59.391, -5.710, -225.206, -84.705, -3350.511, -370.798 
     0, -10.723, -8.000, -8.117, -154.709,  2.966, -40.309, -30.412, 41.200, 25.867 
     0, 54.690, 10.000,  8.833, 121.213, -15.938, -243.586, -61.223, -390.002, -2.522 
    -1, 16.283, -4.000, -6.637, -23.390,  2.578, 123.092, 39.546, 351.223, 157.463 
    -1, 15.349,  0.000,  3.692, 23.202,  0.483,  3.168, 41.305, 412.310, 88.465 
     1, 33.907, 11.000, 13.554, 118.013, -2.016, -734.501, -677.270, -284.972, -334.107 
    -1, -7.001,  1.000,  0.560, -25.855, -7.581, 554.939, -12.926, 255.033, 45.820 
     1, -3.139,  2.000,  6.579, -12.917,  0.392, 195.358, 156.937, 363.437, 226.068 
     1,  1.952, -1.000, -0.487, -39.365,  1.061, -395.924, -360.327, -284.972, -134.519 
    -1,  1.066,  2.000,  4.246, 23.166, 17.483, 515.815, 75.208, 314.125, 124.311 
    -1, 19.626, 12.000, 15.646, 80.414,  7.885, -56.347, -118.327, 465.827, 65.377 
    -1, -2.051,  4.000,  8.376,  8.432, -4.659, 59.036, 66.473, 668.544, 278.612 
     0, 28.672, 12.000, 13.206, 91.385,  2.335, -6671.765, -1785.115, 461.023, 161.058 
     1, 56.810, 18.000, 23.136, 433.833, -2.236, -1.887, -12.216, 573.650, 72.526 
     1, -1.557, -3.000, -2.354, -62.716,  4.137, -366.394, -79.465, 494.933, 387.010 
    -1, -19.920, -6.000, -7.000, -47.521, -3.105, 423.341, -2083.686, -17.722, -113.058 
    -1, -4.843, -1.000, -5.250, -45.091, -1.684, 85.113, -1185.646, 136.866, 77.533 
    -1, -19.450, -4.000, -5.778, -44.797, -8.988, 450.511, -1734.813, 65.722, 38.289 
     0, -11.963, -3.000, -5.883, -4.694, -11.215,  2.637, -29.740, -83.356, 124.909 
     1, 101.857, 37.000, 41.309, 1267.380, 33.101, -3843.022, -563.659, -894.897, -134.787 
     1, -20.002, -7.000, -7.758, -3.378, -4.555, 118.005, 216.430, 361.869, 158.865 
     1, 82.399, 38.000, 41.433, 971.791, -1.209, -1467.534, -33.240, 43.479, 213.834 
    -1, -20.012, -4.000, -0.770, 13.938, -12.862, -146.027, -135.042, 339.442, 120.278 
     1, 13.647,  4.000,  5.393, 100.184, -1.304, -94.304, 163.316, -76.673, -0.923 
     0, 33.531,  8.000,  4.084, 107.240, 51.751, -1467.534, -432.964, 209.303, 110.828 
    -1, -29.308, -4.000,  1.139, 83.974, -7.627, -441.985, -214.315, 162.000, 61.335 
     1, 62.879, 17.000, 23.898, 750.417, 15.718, -1120.807, -253.306, -83.356, -77.126 
     0, 36.755,  4.000,  9.288, 305.004, -3.610, -1149.108, -143.403, 372.024, 124.789 
    -1, -39.676, -8.000, -5.133, -27.098, -1.238, -726.197, -383.522, 158.223, 12.980 
    -1, 21.509, -5.000, -1.333, -57.094, -8.583, -3866.445, -1485.977, -478.782, -132.140 
     1, -15.152, -5.000, -3.933, -34.208,  0.830, -590.862, -143.812, 209.303, 58.674 
    -1, -26.052, -5.000, -0.633, 39.066,  0.000, -626.706, -628.702, -214.744, -166.305 
    -1, 41.025,  8.000,  6.000, -18.636,  6.694, -290.843, -42.828, -114.499, 77.005 
     1, -43.038, -11.000, -6.000, -246.368,  5.329, 1235.857, 871.503, 443.871, 238.012 
     1, -40.484, -6.000, -6.500, -200.047,  8.306, -130.465, -310.104, 45.915, -71.474 
     1, 25.704,  9.000, 12.332, 34.468,  0.000, 91.098, 255.142, -481.602, -217.218 
     1, 11.883,  5.000,  6.700, 19.152, -11.570, 453.920, 118.332, -225.145, -72.255 
     1, 125.318, 80.000, 87.222, 1411.297, 44.560, -305.343, 73.630, -501.966, -274.144 
     1,  7.047,  4.000,  4.914, 35.416,  3.082, 152.242, 307.738, -157.948, -43.215 
     1, -4.317, -2.000, -3.300, -52.105, -0.538, 229.998, 140.000, -139.387, -79.319 
     1, 32.005, 14.000, 16.492, 222.655, 18.196, 298.105, 122.226, -139.387, -16.945 
     1,  5.504,  3.000,  4.700, -19.898, -10.489, 326.540, 27.714, -334.264, -62.212 
     1, -42.206, -11.000, -15.984, -50.790, -4.001, -535.959, 784.135, -193.520, -17.006 
     0, -62.618, -12.000, -26.056, -20.030,  0.000, 304.912, 55.565, 35.755, 172.026 
     1,  3.644,  7.000,  5.644, 186.314, -9.965, 959.368, 266.560, 89.278, -41.249 
    -1, -17.473,  3.000,  3.492, 37.248,  4.941, 226.612, 575.925, 953.281, 417.664 
     0, 92.732, 26.000, 31.626, 1306.650, -23.739, 273.405, 46.017, -432.399, -182.455 
     0, 68.806, 27.000, 30.956, 664.416, 13.736, -2091.031, -292.606, -513.823, -3.628 
     1,  8.915,  4.000,  8.490, 238.025, -3.325, -1027.510, 106.191, 679.731, 215.739 
     1, -0.178, -2.000,  0.632, 171.719, 48.304, -1352.948, 232.449, 608.692, 13.220 
     0, 67.546, 20.000, 25.392, 826.203,  5.585, 273.405, 304.139, 94.996, 79.305 
     0, -37.850, -8.000, -12.456, -310.535, -7.909, 114.667, 120.848, 613.671, 324.584 
     1, -6.144, -1.000, -5.732, 13.932,  8.586, 247.158, 159.571, 843.336, 222.473 
     1, -60.961, -10.000, -23.067, -157.785,  0.098, 162.007, 45.161, -86.644, -15.301 
    -1, -36.672, -4.000, -6.921, -151.400, -5.565, -512.588, -791.149, -24.433, -196.969 
    -1, -3.343, 11.000, 10.726, -78.495,  0.000, -436.023, -270.121, -3.094, -34.359 
    -1, -5.424,  5.000,  7.485, -2.584,  5.280, 712.109, -561.153, 752.898, 364.648 
     0, -27.364, -2.000, -7.550, -32.850, -0.925, -57.587, -1050.726, 263.310, 175.264 
    -1, -10.858, -1.000, -9.659, -43.713, -0.082, 640.010, -830.893, 852.922, 382.660 
     1, 51.506,  6.000, 10.667, 15.679, -0.500, -738.695, -317.620, -45.125, -35.390 
     1, 23.323,  0.000,  5.000, -88.862,  0.605, -1218.225, -861.172, -422.903, -212.211 
    -1, 52.797,  3.000,  4.667, 16.662, 11.448, -970.035, -477.811, -2.913,  6.315 
     1, 92.414, 23.000, 23.906, 410.438, -2.338, -1375.727, -857.880, -253.632, -245.132 
     1, 70.432, 21.000, 24.767, 683.738, -2.719, -1180.902, -343.514, -516.488, -176.939 
    -1, 61.266, 11.000, 13.250, 57.509, -6.050, -1375.727, -729.544, -219.396, -64.955 
     1, -35.087, -5.000,  4.246, -16.575, -23.153, 215.536, -360.984, -133.344, -220.008 
